Country,Year,Prevalence of raised blood glucose/diabetes in adults (%)
Ecuador,2013,7.8
El Salvador,2013,9.9
Granada,2013,10.8
Guatemala,2013,9.5
Guyana,2013,10.6
Haití,2013,8.5
Honduras,2013,9.0
Jamaica,2013,11.6
México,2013,11.1
Nicaragua,2013,10.0
Panamá,2013,9.2
Paraguay,2013,8.0
Perú,2013,7.5
Saint Kitts y Nevis,2013,14.2
Santa Lucía,2013,13.9
San Vicente y las Granadinas,2013,10.4
Suriname,2013,12.1
Trinidad y Tabago,2013,11.3
Estados Unidos de América,2013,7.2
Uruguay,2013,9.4
Venezuela (República Bolivariana de),2013,9.4
Antigua y Barbuda,2014,11.5
Argentina,2014,9.7
Bahamas,2014,12.5
Barbados,2014,12.2
Belice,2014,12.7
Bolivia (Estado Plurinacional de),2014,8.0
Brasil,2014,8.3
Canadá,2014,5.5
Chile,2014,10.5
Colombia,2014,8.5
Costa Rica,2014,8.9
Cuba,2014,8.4
Dominica,2014,11.1
República Dominicana,2014,10.1
Ecuador,2014,8.0
El Salvador,2014,10.1
Granada,2014,11.1
Guatemala,2014,9.7
Guyana,2014,10.9
Haití,2014,8.7
Honduras,2014,9.3
Jamaica,2014,11.9
México,2014,11.2
Nicaragua,2014,10.1
Panamá,2014,9.3
Paraguay,2014,8.1
Perú,2014,7.7
Saint Kitts y Nevis,2014,14.5
Santa Lucía,2014,14.5
San Vicente y las Granadinas,2014,10.6
Suriname,2014,12.3
Trinidad y Tabago,2014,11.7
Estados Unidos de América,2014,7.3
Uruguay,2014,9.5
Venezuela (República Bolivariana de),2014,9.5
