Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Birth rate, crude (per 1,000 people)",CO2 emissions (kg per PPP $ of GDP),Capital health expenditure (% of GDP),"Compulsory education, duration (years)",Control of Corruption: Estimate,"Current health expenditure per capita, PPP (current international $)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Domestic private health expenditure (% of current health expenditure),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Fertility rate, total (births per woman)","GDP, PPP (constant 2017 international $)",Gini index,"Government expenditure on education, total (% of GDP)","Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)",Number of neonatal deaths,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,"Population ages 80 and above, female","Population ages 80 and above, male",Population density (people per sq. km of land area),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Poverty gap at $6.85 a day (2017 PPP) (%),Pregnant women receiving prenatal care (%),Prevalence of overweight (% of adults),"Prevalence of overweight, weight for height (% of children under 5)",Prevalence of undernourishment (% of population),Rural population (% of total population),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Urban population (% of total population)
0.0,0.0,0.0,0.0,33.0,0.9318133592605591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6035881891.2566395,0.0,10.6900599002838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.21115553309903,0.0,2.83158677816391,3636.0,1929.0,0.0,146943.0,156.7174685110332,134346.0,143.2825314889668,281289.0,0.0,0.0,0.0,0.0,0.0,226.962,0.0,0.0,68484.0,73.038
0.0,87.956,1.711437204032004,0.0,0.0,0.0,0.0,30.972,0.0,0.0,0.0,0.0,0.0,0.0,12.136,1845532268783.716,0.0,4.2695198059082,0.0,299.852,274.208,287.136,0.0,462.868,791.784,101.6,43112.0,398.426798755242,0.0,0.0,0.0,1270320.0,573980.0,47.7038422327704,66296564.0,203.1290542700416,64254060.0,196.8709334741768,130550628.0,0.0,0.0,194.8,0.0,0.0,52.064,0.0,0.0,113558160.0,347.936
0.0,87.376,1.601483311369636,0.0,0.0,0.0,0.0,30.144,0.0,0.0,0.0,0.0,0.0,149.4252777099608,12.048,2014086771448.584,187.2,0.0,0.0,302.54,275.828,289.276,384.1628723144532,440.232,771.352,100.4,42544.0,0.0,0.0,0.0,0.0,1334164.0,606332.0,48.388035181186,67230376.0,203.0775608464304,65192672.0,196.9224270710812,132423052.0,18.0,0.0,197.2,0.0,0.0,50.688,0.0,21.76,115642404.0,349.312
0.0,86.732,1.478250880102816,0.0,0.0,0.0,0.0,30.38,0.0,0.0,0.0,0.0,0.0,0.0,11.948,2173950710697.964,182.0,0.0,0.0,302.876,276.38,289.72,0.0,440.84,766.876,97.6,42436.0,0.0,0.0,0.0,0.0,1404816.0,640140.0,49.0640664452312,68156308.0,203.037801901408,66116836.0,196.9622100146016,134273140.0,20.0,0.0,199.6,0.0,0.0,49.832,0.0,25.44,117545392.0,350.168
0.0,86.28,1.363378900029076,0.0,0.0,0.0,0.0,30.524,0.0,0.0,0.0,0.0,0.0,0.0,11.864,2352366390565.156,179.6,0.0,0.0,303.76,276.64,290.26,0.0,436.036,766.732,94.0,42392.0,0.0,0.0,0.0,0.0,1477968.0,673904.0,49.7348841118284,69077968.0,203.0078490056788,67030992.0,196.9921509943212,136108960.0,22.0,380.0,202.0,0.0,0.0,48.992,0.0,40.4,119438336.0,351.008
0.0,85.676,1.280177641687416,0.0,0.0,0.0,0.0,29.612,0.0,0.0,0.0,0.0,0.0,0.0,11.74,2489655214404.576,183.6,0.0,0.0,304.196,280.72,292.688,0.0,435.664,711.616,90.4,41852.0,0.0,0.0,0.0,0.0,1551484.0,711008.0,50.40935728928,69996516.0,202.9549508047508,67958268.0,197.0450491952492,137954784.0,22.8,0.0,204.4,44.4,0.0,48.16,0.0,47.04,121345028.0,351.84
0.0,83.896,1.301870331666332,0.0,0.0,0.0,0.0,30.14,0.0,0.0,0.0,0.0,0.0,0.0,11.456,2418819304974.26,195.6,0.0,0.0,304.972,279.8,292.532,0.0,431.416,727.708,86.4,39856.0,398.3238597140256,0.0,0.0,0.0,1624500.0,750104.0,51.0779225999292,70902008.0,202.8895576646444,68882428.0,197.1104308891604,139784440.0,32.4,0.0,206.8,0.0,0.0,47.344,0.0,75.2,123239552.0,352.656
0.0,61.34700000000001,0.986376721928841,0.0,0.0,-0.303951457142829,0.0,22.623,0.0,0.0,0.0,0.0,0.0,0.0,8.343,1914374959079.6008,148.5,11.19594025611876,0.0,229.25400000000002,210.36900000000003,219.921,0.0,321.204,540.675,62.099999999999994,27366.0,0.0,0.0,0.0,0.33413064479827803,1273218.0,590373.0,38.7943413393552,53838612.0,152.1321915890997,52329474.0,147.8678084109003,106168086.0,27.599999999999998,0.0,156.60000000000002,40.5,0.0,34.902,0.0,51.33,93816492.0,265.098
0.0,59.955,0.923056258713174,0.0,0.0,0.0,0.0,23.334,0.0,0.0,0.0,0.0,0.0,0.0,8.118,2069650807377.9932,147.3,0.0,0.0,229.392,209.115,219.27,0.0,322.19100000000003,561.0269999999999,59.400000000000006,24786.0,0.0,0.0,0.0,0.0,1326705.0,615135.0,39.261996426339905,54480312.0,152.1117827574744,52967601.0,147.8882172425256,107447913.0,25.5,0.0,158.39999999999998,0.0,0.0,34.308,0.0,44.46,95160171.0,265.692
0.0,59.214,0.924598138461969,0.0,30.0,-0.61044479906559,0.0,22.953,0.0,0.0,0.0,0.0,0.0,0.0,7.986,2149336065064.848,152.10000000000002,12.119609355926519,0.0,230.274,210.447,220.42200000000003,0.0,316.026,543.5550000000001,57.0,23424.0,0.0,0.0,0.0,-0.403948768973352,1380393.0,638292.0,39.7193635377042,55110180.0,152.0985935686875,53589405.0,147.9014064313125,108699585.0,28.200000000000003,0.0,159.89999999999998,0.0,0.0,33.723,0.0,37.95,96480666.0,266.277
