País,Año,"Birth rate, crude (per 1,000 people)",CO2 emissions (kg per PPP $ of GDP),Capital health expenditure (% of GDP),"Compulsory education, duration (years)",Control of Corruption: Estimate,"Current health expenditure per capita, PPP (current international $)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Domestic private health expenditure (% of current health expenditure),"Fertility rate, total (births per woman)","GDP, PPP (constant 2017 international $)",Gini index,"Government expenditure on education, total (% of GDP)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)",Number of neonatal deaths,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,"Population ages 80 and above, female","Population ages 80 and above, male",Population density (people per sq. km of land area),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Poverty gap at $6.85 a day (2017 PPP) (%),Pregnant women receiving prenatal care (%),Prevalence of overweight (% of adults),"Prevalence of overweight, weight for height (% of children under 5)",Prevalence of undernourishment (% of population),Rural population (% of total population),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Urban population (% of total population),"Proportion of adults who are obese, 20 years old and over ,by sex",Gasto público social según la clasificación por funciones del gobierno,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex"
Argentina,2021,55.608,0.0,0.0,56,-1.68909168243408,0.0,35.82,21.6,0.0,0.0,0.0,7.54,3944535525782.14,168.0,18.5904006958008,314.588,288.728,301.56,361.656,590.808,24.4,12928,0.0,0.0,0.0,0.0018731169402599,3598488,1626668,66.9549667664224,92522192,201.974946098198,90712796,198.025053901801,183234988,13.6,0.0,0.0,0.0,0.0,31.084,34.96,168995796,368.916,0.0,6816560.2,0.0
Argentina,2022,0.0,0.0,0.0,56,-1.78812193870544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4151349278687.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0366531275212764,3656028,1640996,0.0,93382128,201.973548064419,91557192,198.02645193558,184939320,0.0,0.0,0.0,0.0,0.0,30.612,25.964,170785912,369.388,0.0,0.0,0.0
Brazil,1990,99.376,0.793679416576708,0.0,0,0.0,0.0,28.632,0.0,0.0,0.0,0.0,11.62,6270498826861.96,242.0,0.0,276.164,252.396,263.94,620.128,979.44,210.8,390516,355.981322381005,0.0,0.0,0.0,2002724,1615724,72.1243941833948,303119976,201.132721290501,299705808,198.867278709498,602825784,142.8,0.0,154.0,0.0,0.0,104.312,0.0,445620876,295.688,6.3,0.0,0.0
Brazil,1991,96.592,0.788971236316784,0.0,0,0.0,0.0,28.272,0.0,0.0,0.0,0.0,11.26,6335222262711.28,0.0,0.0,277.34,253.768,265.24,612.0,969.544,202.4,374364,0.0,0.0,0.0,0.0,2105788,1674144,73.3830469458516,308516732,201.202481249646,304829044,198.79751614171,613345780,0.0,0.0,157.2,0.0,0.0,101.24,25.464,458107964,298.76,9.5,0.0,0.0
Brazil,1992,93.504,0.7846333707321,0.0,0,0.0,0.0,27.804,0.0,0.0,0.0,0.0,10.876,6300754089088.6,212.8,0.0,279.1,255.196,266.832,597.34,959.984,193.2,356812,0.0,0.0,0.0,0.0,2210636,1733220,74.6102793205188,313783392,201.271200742472,309819768,198.728799257528,623603160,142.4,0.0,160.0,0.0,0.0,98.224,25.68,470471168,301.776,7.0,0.0,0.0
Brazil,1993,69.066,0.567356874362378,0.0,0,0.0,0.0,20.565,0.0,0.0,0.0,0.0,8.016,4958285021904.09,180.3,0.0,210.54,192.57,201.327,439.044,711.81,138.0,259101,0.0,0.0,0.0,0.0,1738653,1345140,56.869426092408,239252706,151.004408426802,236069919,148.995591573197,475322625,103.8,0.0,122.4,0.0,0.0,71.457,18.09,362105529,228.543,7.4,0.0,0.0
Brazil,1994,67.758,0.542425497226176,0.0,0,0.0,0.0,20.22,0.0,0.0,0.0,0.0,7.851,5248487016424.02,0.0,0.0,211.938,193.911,202.704,427.995,702.459,130.5,250476,0.0,0.0,0.0,0.0,1821732,1391988,57.7809675358392,243167331,151.053930938902,239774088,148.946070924677,482941416,0.0,0.0,124.5,0.0,0.0,69.291,19.41,371396436,230.709,7.8,0.0,0.0
Brazil,1995,66.957,0.552794468229879,0.0,0,0.0,0.0,20.055,0.0,0.0,0.0,0.0,7.737,5470172276879.04,178.8,13.7044801712036,213.267,194.715,203.757,418.416,701.352,123.3,244110,268.474130044581,0.0,0.0,0.0,1906401,1438188,58.6908072848744,247080435,151.105366097544,243465546,148.894632067765,490545984,78.9,0.0,126.6,0.0,0.0,67.17,21.27,380712738,232.83,11.2,0.0,0.0
Brazil,1996,65.538,0.577636008151056,0.0,0,-0.0557385943830012,0.0,19.692,0.0,0.0,0.0,0.0,7.548,5591000945797.43,179.7,0.0,214.776,196.128,205.227,406.428,690.558,116.1,235629,0.0,0.0,0.0,-0.661380395293236,1992195,1483341,59.5959586702305,250978683,151.15817473637,247132683,148.841825263629,498111366,80.4,266.4,129.0,18.3,0.0,65.094,24.09,390031161,234.906,8.6,0.0,0.0
Brazil,1997,64.431,0.588798499735038,0.0,0,0.0,0.0,19.464,0.0,0.0,0.0,0.0,7.395,5780806817000.22,179.399999999999,0.0,216.09,197.229,206.439,396.933,684.165,109.2,228135,0.0,0.0,0.0,0.0,2079933,1529169,60.4967278605048,254860317,151.21049917635,250779804,148.78950082365,505640121,81.0,0.0,131.1,0.0,0.0,62.856,27.0,399698403,237.144,12.1,0.0,0.0
Brazil,1997,64.431,0.588798499735038,0.0,0,0.0,0.0,19.464,0.0,0.0,0.0,0.0,7.395,5780806817000.22,179.399999999999,0.0,216.09,197.229,206.439,396.933,684.165,109.2,228135,0.0,0.0,0.0,0.0,2079933,1529169,60.4967278605048,254860317,151.21049917635,250779804,148.78950082365,505640121,81.0,0.0,131.1,0.0,0.0,62.856,27.0,399698403,237.144,15.1,0.0,0.0
Brazil,1997,64.431,0.588798499735038,0.0,0,0.0,0.0,19.464,0.0,0.0,0.0,0.0,7.395,5780806817000.22,179.399999999999,0.0,216.09,197.229,206.439,396.933,684.165,109.2,228135,0.0,0.0,0.0,0.0,2079933,1529169,60.4967278605048,254860317,151.21049917635,250779804,148.78950082365,505640121,81.0,0.0,131.1,0.0,0.0,62.856,27.0,399698403,237.144,9.0,0.0,0.0
Brazil,1998,63.1799999999999,0.599366854303833,0.0,24,0.12442597746849,0.0,19.287,0.0,0.0,0.0,0.0,7.22699999999999,5800351603521.33,178.8,14.2699799537658,217.296,198.273,207.567,388.509,678.432,102.9,220266,0.0,0.0,0.0,-1.01851737499237,2170656,1576320,61.3915789876695,258720108,151.263098968471,254399304,148.736901031528,513119412,77.1,0.0,133.5,0.0,0.0,60.657,30.45,409371798,239.343,12.6,0.0,0.0
Brazil,1998,63.1799999999999,0.599366854303833,0.0,24,0.12442597746849,0.0,19.287,0.0,0.0,0.0,0.0,7.22699999999999,5800351603521.33,178.8,14.2699799537658,217.296,198.273,207.567,388.509,678.432,102.9,220266,0.0,0.0,0.0,-1.01851737499237,2170656,1576320,61.3915789876695,258720108,151.263098968471,254399304,148.736901031528,513119412,77.1,0.0,133.5,0.0,0.0,60.657,30.45,409371798,239.343,15.6,0.0,0.0
Brazil,1998,63.1799999999999,0.599366854303833,0.0,24,0.12442597746849,0.0,19.287,0.0,0.0,0.0,0.0,7.22699999999999,5800351603521.33,178.8,14.2699799537658,217.296,198.273,207.567,388.509,678.432,102.9,220266,0.0,0.0,0.0,-1.01851737499237,2170656,1576320,61.3915789876695,258720108,151.263098968471,254399304,148.736901031528,513119412,77.1,0.0,133.5,0.0,0.0,60.657,30.45,409371798,239.343,9.4,0.0,0.0
Brazil,1999,81.78,0.812375648975416,0.0,32,0.0,0.0,25.544,0.0,0.0,0.0,0.0,9.324,7769991503549.28,236.0,15.2024803161621,291.252,265.524,278.096,507.224,900.792,129.2,279940,0.0,0.0,0.0,0.0,3022216,2167416,83.0262623023784,350019444,201.756266825502,343925680,198.243733174498,693945124,106.8,0.0,180.8,0.0,0.0,78.016,44.52,558598068,321.984,13.0,0.0,0.0
Brazil,1999,81.78,0.812375648975416,0.0,32,0.0,0.0,25.544,0.0,0.0,0.0,0.0,9.324,7769991503549.28,236.0,15.2024803161621,291.252,265.524,278.096,507.224,900.792,129.2,279940,0.0,0.0,0.0,0.0,3022216,2167416,83.0262623023784,350019444,201.756266825502,343925680,198.243733174498,693945124,106.8,0.0,180.8,0.0,0.0,78.016,44.52,558598068,321.984,16.1,0.0,0.0
