Country,Año,Necesidades promedio de energía alimentaria kilocalorias
El Salvador,2013,2275
Granada,2013,2483
Guatemala,2013,2152
Haití,2013,2318
Honduras,2013,2252
México,2013,2364
Nicaragua,2013,2272
Panamá,2013,2285
Paraguay,2013,2349
Perú,2013,2274
Saint Kitts y Nevis,2013,2449
Santa Lucía,2013,2513
San Vicente y las Granadinas,2013,2478
Suriname,2013,2370
Trinidad y Tabago,2013,2435
Uruguay,2013,2410
Venezuela (República Bolivariana de),2013,2335
América Latina y el Caribe,2013,2377
América Central,2013,2331
El Caribe,2013,2402
América del Sur,2013,2393
Antigua y Barbuda,2014,2453
Argentina,2014,2418
Bahamas,2014,2467
Barbados,2014,2459
Belice,2014,2253
Bolivia (Estado Plurinacional de),2014,2244
Brasil,2014,2443
Chile,2014,2438
Colombia,2014,2347
Costa Rica,2014,2432
Cuba,2014,2444
Dominica,2014,2471
República Dominicana,2014,2383
Ecuador,2014,2282
El Salvador,2014,2280
Granada,2014,2482
Guatemala,2014,2158
Haití,2014,2323
Honduras,2014,2260
México,2014,2368
Nicaragua,2014,2275
Panamá,2014,2287
Paraguay,2014,2351
Perú,2014,2277
Saint Kitts y Nevis,2014,2454
Santa Lucía,2014,2515
San Vicente y las Granadinas,2014,2483
Suriname,2014,2377
Trinidad y Tabago,2014,2434
Uruguay,2014,2411
Venezuela (República Bolivariana de),2014,2337
América Latina y el Caribe,2014,2380
América Central,2014,2335
El Caribe,2014,2404
América del Sur,2014,2395
Antigua y Barbuda,2015,2453
Argentina,2015,2418
Bahamas,2015,2465
Barbados,2015,2458
Belice,2015,2260
Bolivia (Estado Plurinacional de),2015,2247
Brasil,2015,2444
Chile,2015,2438
Colombia,2015,2350
Costa Rica,2015,2434
Cuba,2015,2444
Dominica,2015,2476
República Dominicana,2015,2384
Ecuador,2015,2287
El Salvador,2015,2283
Granada,2015,2483
Guatemala,2015,2172
Haití,2015,2327
Honduras,2015,2267
México,2015,2373
Nicaragua,2015,2278
Panamá,2015,2289
Paraguay,2015,2353
Perú,2015,2280
Saint Kitts y Nevis,2015,2454
Santa Lucía,2015,2517
San Vicente y las Granadinas,2015,2482
Suriname,2015,2382
Trinidad y Tabago,2015,2433
Uruguay,2015,2412
Venezuela (República Bolivariana de),2015,2340
América Latina y el Caribe,2015,2382
América Central,2015,2340
El Caribe,2015,2405
América del Sur,2015,2397
Antigua y Barbuda,2016,2458
Argentina,2016,2419
Bahamas,2016,2474
Barbados,2016,2465
Belice,2016,2264
Bolivia (Estado Plurinacional de),2016,2251
Brasil,2016,2445
Chile,2016,2439
Colombia,2016,2353
Costa Rica,2016,2436
Cuba,2016,2444
Dominica,2016,2465
República Dominicana,2016,2386
Ecuador,2016,2292
El Salvador,2016,2286
Granada,2016,2481
Guatemala,2016,2176
Haití,2016,2331
Honduras,2016,2274
México,2016,2377
Nicaragua,2016,2281
Panamá,2016,2291
Paraguay,2016,2355
Perú,2016,2284
Saint Kitts y Nevis,2016,2460
Santa Lucía,2016,2516
San Vicente y las Granadinas,2016,2482
Suriname,2016,2387
Trinidad y Tabago,2016,2431
Uruguay,2016,2412
Venezuela (República Bolivariana de),2016,2341
América Latina y el Caribe,2016,2385
América Central,2016,2344
El Caribe,2016,2407
América del Sur,2016,2399
Antigua y Barbuda,2017,2463
Argentina,2017,2421
Bahamas,2017,2481
Barbados,2017,2471
Belice,2017,2272
Bolivia (Estado Plurinacional de),2017,2255
Brasil,2017,2447
Chile,2017,2441
Colombia,2017,2356
Costa Rica,2017,2438
Cuba,2017,2445
Dominica,2017,2460
República Dominicana,2017,2387
Ecuador,2017,2297
El Salvador,2017,2290
Granada,2017,2480
Guatemala,2017,2181
Haití,2017,2335
Honduras,2017,2280
México,2017,2381
Nicaragua,2017,2284
Panamá,2017,2293
Paraguay,2017,2356
Perú,2017,2289
Saint Kitts y Nevis,2017,2463
Santa Lucía,2017,2513
San Vicente y las Granadinas,2017,2483
Suriname,2017,2389
Trinidad y Tabago,2017,2431
Uruguay,2017,2414
Venezuela (República Bolivariana de),2017,2341
América Latina y el Caribe,2017,2387
América Central,2017,2348
El Caribe,2017,2409
América del Sur,2017,2401
Barbados,2018,2476
Antigua y Barbuda,2018,2460
Argentina,2018,2424
Bahamas,2018,2486
Belice,2018,2277
Bolivia (Estado Plurinacional de),2018,2258
Brasil,2018,2447
Chile,2018,2444
Colombia,2018,2359
Costa Rica,2018,2439
Cuba,2018,2444
Dominica,2018,2456
República Dominicana,2018,2389
Ecuador,2018,2302
El Salvador,2018,2294
Granada,2018,2477
Guatemala,2018,2186
Haití,2018,2338
Honduras,2018,2286
México,2018,2386
Nicaragua,2018,2287
Panamá,2018,2296
Paraguay,2018,2358
Perú,2018,2294
Saint Kitts y Nevis,2018,2462
Santa Lucía,2018,2511
San Vicente y las Granadinas,2018,2482
Suriname,2018,2388
América del Sur,2018,2402
Trinidad y Tabago,2018,2434
Uruguay,2018,2418
Venezuela (República Bolivariana de),2018,2337
América Latina y el Caribe,2018,2389
América Central,2018,2353
El Caribe,2018,2410
Barbados,2019,2479
Antigua y Barbuda,2019,2464
Argentina,2019,2428
Bahamas,2019,2488
Belice,2019,2282
Bolivia (Estado Plurinacional de),2019,2262
Brasil,2019,2448
Chile,2019,2447
Colombia,2019,2362
Costa Rica,2019,2442
Cuba,2019,2444
Dominica,2019,2448
República Dominicana,2019,2390
Ecuador,2019,2308
El Salvador,2019,2298
Granada,2019,2478
Guatemala,2019,2191
Haití,2019,2341
Honduras,2019,2290
México,2019,2390
Nicaragua,2019,2290
Panamá,2019,2299
Paraguay,2019,2359
Perú,2019,2299
Saint Kitts y Nevis,2019,2465
Santa Lucía,2019,2511
San Vicente y las Granadinas,2019,2479
Suriname,2019,2392
América del Sur,2019,2404
Trinidad y Tabago,2019,2437
Uruguay,2019,2423
Venezuela (República Bolivariana de),2019,2334
América Latina y el Caribe,2019,2392
América Central,2019,2357
El Caribe,2019,2412
Antigua y Barbuda,2020,2467
Argentina,2020,2432
Bahamas,2020,2495
Barbados,2020,2483
Belice,2020,2289
Bolivia (Estado Plurinacional de),2020,2265
Brasil,2020,2448
Chile,2020,2448
Colombia,2020,2363
Costa Rica,2020,2444
Cuba,2020,2444
Dominica,2020,2444
República Dominicana,2020,2392
Ecuador,2020,2312
El Salvador,2020,2301
Granada,2020,2476
Guatemala,2020,2197
