País,Año,"Birth rate, crude (per 1,000 people)",CO2 emissions (kg per PPP $ of GDP),Capital health expenditure (% of GDP),"Compulsory education, duration (years)",Control of Corruption: Estimate,"Current health expenditure per capita, PPP (current international $)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Domestic private health expenditure (% of current health expenditure),"Fertility rate, total (births per woman)","GDP, PPP (constant 2017 international $)",Gini index,"Government expenditure on education, total (% of GDP)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)",Number of neonatal deaths,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,"Population ages 80 and above, female","Population ages 80 and above, male",Population density (people per sq. km of land area),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Poverty gap at $6.85 a day (2017 PPP) (%),Pregnant women receiving prenatal care (%),Prevalence of overweight (% of adults),"Prevalence of overweight, weight for height (% of children under 5)",Prevalence of undernourishment (% of population),Rural population (% of total population),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Urban population (% of total population),"Proportion of adults who are obese, 20 years old and over ,by sex",Gasto público social según la clasificación por funciones del gobierno,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex"
Trinidad and Tobago,2013,28.564,1.04122478268965,0.23080734,12.0,-0.505540311336518,2841.2501611437,13.324,0.0,5.17703294,1463.60432493812,96.80732728,3.406,85088235523.5178,180.2790247476612,5.34752559661866,154.138,141.56,147.924,227.538,385.122,37.2,546.0,200.0,186.684739862944,245.70376713715905,0.18737219274044,26582.0,12630.0,561.687719298246,1460376.0,101.363684634653,1421084.0,98.6364541839582,2881458.0,45.822312223411245,0.0,87.8,0.0,13.2,92.94,5.36,1542444.0,107.06,24.8,35282.62327408232,12.42374522234877
Trinidad and Tobago,2013,28.564,1.04122478268965,0.23080734,12.0,-0.505540311336518,2841.2501611437,13.324,0.0,5.17703294,1463.60432493812,96.80732728,3.406,85088235523.5178,180.2790247476612,5.34752559661866,154.138,141.56,147.924,227.538,385.122,37.2,546.0,200.0,186.684739862944,245.70376713715905,0.18737219274044,26582.0,12630.0,561.687719298246,1460376.0,101.363684634653,1421084.0,98.6364541839582,2881458.0,45.822312223411245,0.0,87.8,0.0,13.2,92.94,5.36,1542444.0,107.06,9.9,35282.62327408232,12.42374522234877
Trinidad and Tobago,2014,27.916,1.01908698200136,0.4546155,14.0,-0.92881828546524,2901.59537272464,13.478,0.0,5.22498226,1458.67681979537,99.30508422,3.386,87915670281.8952,179.87855053010844,5.14266157150268,154.814,141.926,148.43,223.012,382.536,36.2,522.0,200.0,186.913876295202,247.832615286693,0.49572867155075,27698.0,13296.0,565.55984405458,1470856.0,101.39212400416,1430466.0,98.6078759958392,2901322.0,43.64940096763621,0.0,89.2,0.0,13.2,93.174,4.96,1549684.0,106.826,18.2,36539.92855429277,12.233081195611305
Trinidad and Tobago,2014,27.916,1.01908698200136,0.4546155,14.0,-0.92881828546524,2901.59537272464,13.478,0.0,5.22498226,1458.67681979537,99.30508422,3.386,87915670281.8952,179.87855053010844,5.14266157150268,154.814,141.926,148.43,223.012,382.536,36.2,522.0,200.0,186.913876295202,247.832615286693,0.49572867155075,27698.0,13296.0,565.55984405458,1470856.0,101.39212400416,1430466.0,98.6078759958392,2901322.0,43.64940096763621,0.0,89.2,0.0,13.2,93.174,4.96,1549684.0,106.826,25.7,36539.92855429277,12.233081195611305
Trinidad and Tobago,2014,27.916,1.01908698200136,0.4546155,14.0,-0.92881828546524,2901.59537272464,13.478,0.0,5.22498226,1458.67681979537,99.30508422,3.386,87915670281.8952,179.87855053010844,5.14266157150268,154.814,141.926,148.43,223.012,382.536,36.2,522.0,200.0,186.913876295202,247.832615286693,0.49572867155075,27698.0,13296.0,565.55984405458,1470856.0,101.39212400416,1430466.0,98.6078759958392,2901322.0,43.64940096763621,0.0,89.2,0.0,13.2,93.174,4.96,1549684.0,106.826,10.3,36539.92855429277,12.233081195611305
Trinidad and Tobago,2015,27.208,1.05525240459048,1.09782266,14.0,-0.730172336101532,3125.81120902932,13.594,0.0,6.20051194,1609.05620142338,96.83361054,3.364,87251360164.7846,179.4780763125557,6.29701900482178,155.86,142.104,149.006,215.184,381.662,35.0,498.0,200.0,187.14301272746,249.96146343622604,0.558722078800202,28860.0,13978.0,569.269785575048,1481154.0,101.43660665796,1439200.0,98.56339334204,2920354.0,41.47648971186118,0.0,90.6,0.0,13.6,93.362,4.86,1557104.0,106.638,18.9,37797.23383450275,12.042417168873783
Trinidad and Tobago,2015,27.208,1.05525240459048,1.09782266,14.0,-0.730172336101532,3125.81120902932,13.594,0.0,6.20051194,1609.05620142338,96.83361054,3.364,87251360164.7846,179.4780763125557,6.29701900482178,155.86,142.104,149.006,215.184,381.662,35.0,498.0,200.0,187.14301272746,249.96146343622604,0.558722078800202,28860.0,13978.0,569.269785575048,1481154.0,101.43660665796,1439200.0,98.56339334204,2920354.0,41.47648971186118,0.0,90.6,0.0,13.6,93.362,4.86,1557104.0,106.638,26.7,37797.23383450275,12.042417168873783
Trinidad and Tobago,2015,27.208,1.05525240459048,1.09782266,14.0,-0.730172336101532,3125.81120902932,13.594,0.0,6.20051194,1609.05620142338,96.83361054,3.364,87251360164.7846,179.4780763125557,6.29701900482178,155.86,142.104,149.006,215.184,381.662,35.0,498.0,200.0,187.14301272746,249.96146343622604,0.558722078800202,28860.0,13978.0,569.269785575048,1481154.0,101.43660665796,1439200.0,98.56339334204,2920354.0,41.47648971186118,0.0,90.6,0.0,13.6,93.362,4.86,1557104.0,106.638,10.9,37797.23383450275,12.042417168873783
Trinidad and Tobago,2016,26.584,0.958784416294668,0.58477468,14.0,-0.606909990310668,3381.04005343326,14.268,0.0,6.85259772,1694.47555398963,99.62037658,3.356,81349294942.0976,179.07760209500293,7.53430080413818,155.348,141.758,148.562,220.44,387.334,34.0,474.0,200.0,187.372149159718,252.09031158576,0.554515540599824,30024.0,14686.0,572.83820662768,1491208.0,101.48897796955,1447452.0,98.5110220304492,2938660.0,39.30357845608614,0.0,92.0,0.0,13.6,93.5,6.42,1564836.0,106.5,19.7,39054.53911471274,11.851753142136317
Trinidad and Tobago,2016,26.584,0.958784416294668,0.58477468,14.0,-0.606909990310668,3381.04005343326,14.268,0.0,6.85259772,1694.47555398963,99.62037658,3.356,81349294942.0976,179.07760209500293,7.53430080413818,155.348,141.758,148.562,220.44,387.334,34.0,474.0,200.0,187.372149159718,252.09031158576,0.554515540599824,30024.0,14686.0,572.83820662768,1491208.0,101.48897796955,1447452.0,98.5110220304492,2938660.0,39.30357845608614,0.0,92.0,0.0,13.6,93.5,6.42,1564836.0,106.5,27.7,39054.53911471274,11.851753142136317
